,full_name,pac,sho,pas,dri,def,phy,overall
1827,Stijn Schaars,34,67,78,69,69,67,75
1828,Mauricio Pinilla,68,73,57,71,27,77,75
1829,Imoh Ezekiel,92,74,62,73,28,64,75
1830,Martin Olsson,82,62,67,71,73,76,75
1831,William Tesillo,61,26,51,53,77,76,75
1832,Paolo Cannavaro,32,44,52,52,76,67,75
1833,Giulio Donati,73,49,63,67,76,79,75
1834,Yuya Kubo,83,72,68,78,42,56,75
1835,Ola Toivonen,53,77,74,73,42,74,75
1836,Emmanuel Emenike,81,73,63,74,26,78,75
1837,Filip Đorđević,68,74,59,69,42,75,75
1838,Rubén Blanco Veiga,79,74,69,71,53,75,75
1839,Darko Lazović,89,64,71,77,31,48,75
1840,Francisco Vidangosa,76,70,77,75,44,75,75
1841,Pedro Tanausú Domínguez Placeres,69,69,73,79,18,50,75
1842,Maya Yoshida,62,41,51,61,76,75,75
1843,Danilo Cataldi,70,69,74,74,68,69,75
1844,Christian Marrugo,71,68,75,73,52,59,75
1845,Alan Pulido,84,73,62,74,36,69,75
1846,Samuel García Sánchez,78,68,73,74,28,62,75
1847,Frederico André Ferrão Venâncio,65,33,51,54,77,73,75
1848,Jean-Philippe Gbamin,74,49,67,72,73,78,75
1849,Vildan Guerra,55,40,58,59,75,76,75
1850,Stefan Johansen,70,69,74,74,61,75,75
1851,Aleksandar Mitrović,59,75,52,67,24,81,75
1852,Francisco Femenía Far,77,61,70,79,71,71,75
1853,Calum Chambers,64,51,66,69,75,76,75
1854,Luca Rigoni,69,67,72,70,71,73,75
1855,Miha Mevlja,70,38,59,57,77,74,75
1856,Charlie Daniels,76,55,72,74,72,70,75
1857,Enrique García Martínez,70,74,59,71,32,75,75
1858,Konstantinos Stafylidis,78,64,69,73,72,73,75
1859,Nana Asare,77,59,73,76,76,71,75
1860,Sabin Merino Zuloaga,77,72,68,75,43,61,75
1861,Cristian Rodríguez,71,69,74,78,55,70,75
1862,Karl-Johan Johnsson,75,70,77,79,49,75,75
1863,Ishak Belfodil,66,73,69,73,31,81,75
1864,Simone Missiroli,67,66,72,72,66,66,75
1865,Sergio Floccari,66,76,61,72,24,68,75
1866,Emmanuel Gigliotti,57,74,60,67,32,75,75
1867,Milan Škriniar,66,43,53,50,76,72,75
1868,Andrey Eschenko,80,57,68,69,72,72,75
1869,Jonathan Kodjia,83,72,56,75,27,73,75
1870,Nuno Miguel Sousa Pinto,75,56,70,74,71,68,75
1871,José Carlos Gonçalves Rodrigues,76,65,74,75,69,74,75
1872,Rasmus Elm,51,69,80,73,64,55,75
1873,Hasan Ali Kaldırım,73,59,69,72,73,72,75
1874,Claudio Cordeso,79,56,70,69,73,66,75
1875,Iván Piris,79,48,61,69,75,70,75
1876,Fernando Monetti,78,75,77,77,57,71,75
1877,Mubarak Wakaso,89,64,71,75,63,78,75
1878,Volkan Şen,87,63,69,81,47,65,75
1879,Ozan Tufan,72,68,70,72,73,77,75
1880,Ivan Strinić,74,56,68,73,73,72,75
1881,Yvon Mvogo,79,73,68,78,42,71,75
1882,Kaíque Osvaldo Castro Rodrigues,77,76,61,73,36,72,75
1883,Gaku Shibasaki,71,65,74,76,70,65,75
1884,Will Hughes,66,59,72,77,65,65,75
1885,Ibrahim Amadou,75,51,63,67,73,80,75
1886,Fernando Lopes dos Santos Varela,67,44,54,59,75,82,75
1887,Jefferson Nascimento,77,71,74,75,70,73,75
1888,Eduardo Dinsol,74,48,69,75,74,69,75
1889,Kelechi Iheanacho,84,75,60,74,22,68,75
1890,Riad Bajić,65,74,59,68,25,68,75
1891,Pirmin Schwegler,42,68,76,74,72,67,75
1892,Bobby Wood,85,74,59,74,28,73,75
1893,Jaume Domenech Sánchez,74,73,70,79,58,72,75
1894,Viktor Fischer,77,71,72,76,35,64,75
1895,Daniel Ginczek,67,75,50,68,38,79,75
1896,Malang Sarr,72,47,67,65,75,77,75
1897,Sacha Kljestan,63,68,77,71,62,72,75
1898,Felipe Pardo,80,74,70,75,34,76,75
1899,Christian Maggio,74,69,70,73,70,76,75
1900,Salvador José Milhazes Agra,93,73,67,79,35,50,75
1901,Jorge Figal,73,41,58,69,76,73,75
1902,Valentin Vada,65,66,76,76,63,69,75
1903,Andeson Jaime Trigo Gonçalves,85,63,75,77,68,72,75
1904,Jérôme Gondorf,70,66,74,74,68,81,75
1905,Mathias Jørgensen,69,39,61,56,73,82,75
1906,Jonathan Walters,63,73,70,72,59,82,75
1907,Ramy Bensebaini,67,47,60,65,73,76,75
1908,Roberto Trashorras Gayoso,36,65,77,66,68,70,75
1909,James McArthur,62,60,72,71,72,76,75
1910,Serdar Aziz,73,32,53,57,74,77,75
1911,Alberto Tomás Botía Rabasco,59,55,53,56,74,80,75
1912,Stephen Ward,68,59,69,70,74,78,75
1913,Sven Ulreich,78,73,52,78,40,69,75
1914,Borja García Freire,78,69,72,76,59,66,75
1915,Pedro Filipe Barbosa Moreira,79,70,75,77,59,60,75
1916,Andrew Robertson,80,60,67,75,72,71,75
1917,Matias Alcoraz,47,46,56,53,73,79,75
1918,Brian Sarmiento,88,68,74,78,28,50,75
1919,Erick Sebastião Laforte Medeiros,82,53,67,72,73,70,75
1920,Rubén Salvador Pérez del Mármol,57,56,68,65,70,77,75
1921,Herlyn Acevedo,60,50,61,59,73,78,75
1922,Dominic Maroh,52,37,48,49,76,75,75
1923,Angelo Baredia,59,50,58,51,75,74,75
1924,Ridgeciano Haps,89,54,65,77,69,75,75
1925,Karol Linetty,70,60,70,75,70,73,75
1926,Theo Hernández,89,56,63,75,72,76,75
1927,Ricardo Jorge Novo Nunes,77,74,63,74,33,76,75
1928,Soslan Dzhanaev,76,68,72,77,43,76,75
1929,Oumar Niasse,77,74,57,71,30,72,75
1930,Ervin Zukanović,65,49,64,54,76,76,75
1931,Nicolas Isimat-Mirin,53,31,53,46,75,79,75
1932,Şener Özbayraklı,81,62,70,76,71,75,75
1933,Antonio García Aranda,85,58,73,75,68,67,75
1934,Mattheus A. Gama de Oliveira,68,68,75,77,56,69,75
1935,Ádám Szalai,48,74,60,70,38,78,75
1936,Adalberto Peñaranda,82,73,69,81,34,65,75
1937,Bakary Koné,61,41,50,50,75,75,75
1938,Timm Klose,49,38,55,34,77,76,75
1939,Matz Sels,80,68,70,77,36,75,75
1940,Simon Falette,61,45,48,54,73,85,75
1941,Alessio Cerci,83,71,73,78,33,62,75
1942,Theodor Gebre Selassie,77,50,68,75,72,72,75
1943,Hans Vanaken,44,73,75,73,41,64,75
1944,Ryan Mason,68,68,75,73,69,69,75
1945,Oleg Ivanov,69,70,75,73,62,80,75
1946,Eduardo Bolindos,71,70,68,71,71,82,75
1947,Jorge Lopendañez,72,57,68,75,75,69,75
1948,Serdar Gürler,87,67,67,78,42,54,75
1949,Martín Mantovani,39,42,56,60,74,82,75
1950,Andrew Surman,61,64,75,72,64,71,75
1951,Stefano Sensi,65,55,75,75,64,66,75
1952,Jordan Ferri,66,67,73,74,67,73,75
1953,Julián Omar Ramos Suárez,78,65,74,79,32,59,75
1954,Victor Martin Maia Padilha,82,54,71,73,72,65,75
1955,David Jensen,74,72,79,75,40,72,75
1956,Aminu Umar,89,68,67,79,47,69,75
1957,Lucas Zelarayán,77,67,74,79,43,61,75
1958,Nabil El Zhar,74,73,71,79,34,62,75
1959,Kyle Naughton,74,52,65,67,74,70,75
1960,Jefferson Lerma,78,65,71,73,69,80,75
1961,Toni Leistner,66,38,54,56,74,80,75
1962,Matheus Lima Magalhães,78,67,70,80,46,74,75
1963,Isaac Becerra Alguacil,78,72,69,77,53,70,75
1964,Ricardo Kishna,83,66,68,82,29,58,75
1965,Marcel Halstenberg,71,63,69,70,72,77,75
1966,James Tomkins,51,33,53,54,77,75,75
1967,Lewis Dunk,50,37,51,60,74,79,75
1968,Paolo Goltz,62,56,63,59,74,79,75
1969,Deniz Türüç,75,68,77,77,57,67,75
1970,Gonzalo Jara,67,47,64,67,73,77,75
1971,Dmitriy Poloz,82,74,73,77,25,69,75
1972,Jose Badamontes,82,64,70,77,26,51,75
1973,Almog Cohen,66,64,64,69,75,77,75
1974,Aiden McGeady,77,71,72,82,42,62,75
1975,Sergio Cardenia,85,64,67,74,57,61,75
1976,Kauê Enaldo Lima Rodrigues,77,63,69,68,76,71,75
1977,Alberto de la Bella Madueño,60,52,69,69,78,68,75
1978,José Alberto Cañas Ruíz-Herrera,53,45,66,57,72,74,75
1979,Renato Neto Cardoso Porto,58,66,73,70,70,85,75
1980,Franco Brienza,67,68,79,82,53,48,75
1981,Zakaria Labyad,77,72,73,79,32,53,75
1982,Cristian Chagas Tarouco,34,39,43,54,77,75,75
1983,Juan Pablo Carrizo,77,74,72,76,53,73,75
1984,Sebastião de Freitas Couto,87,74,68,73,49,76,75
1985,Djavan da Silva Ferreira,76,47,64,74,72,77,75
1986,Davi Alexandre Parrela Ferreira,64,40,54,51,74,78,75
1987,Antonio Manuel Luna Rodriguez,75,61,66,70,71,78,75
1988,Leandro González Pirez,76,48,63,68,74,79,75
1989,Mislav Oršić,87,72,70,77,33,59,75
1990,Sejad Salihović,47,77,80,73,64,71,75
1991,Craig Dawson,65,43,59,60,76,76,75
1992,Alberto Gilardino,58,73,60,70,29,64,75
1993,Marc Schnatterer,76,72,76,73,37,63,75
1994,Federico Carrizo,89,65,72,76,36,62,75
1995,Marvin Compper,62,37,56,56,77,69,75
1996,Omar Kharbin,78,76,56,71,26,68,75
1997,Moustapha Sall,39,48,53,46,75,81,75
1998,Yohan Benalouane,64,39,57,54,75,79,75
1999,Jonathan Biabiany,96,65,66,77,28,66,75
2000,Harun Tekin,77,70,69,80,38,73,75
2001,Leonardo Pisculichi,70,71,78,76,33,59,75
2002,Adrián López Alvarez,66,73,67,81,27,63,75
2003,Giancarlo González,71,45,49,60,77,73,75
2004,Préjuce Nakoulma,93,71,63,77,39,73,75
2005,Willy Boly,70,35,55,54,74,80,75
2006,Welthon Fiel Sampaio,83,73,65,76,27,73,75
2007,Cristian Pavón,88,75,70,78,27,56,75
2008,Carlos Villanueva,63,71,75,78,41,50,75
2009,Godfred Donsah,81,65,75,79,63,78,75
2010,Alberto Aquilani,54,70,80,75,60,62,75
2011,Manuel García Sánchez,59,60,67,63,72,81,75
2012,Jérémy Sorbon,34,31,58,46,77,67,74
2013,Lucas Orbán,66,53,65,61,76,74,74
2014,Sergio Araujo,74,71,66,77,27,58,74
2015,Jonas Svensson,78,57,69,69,71,80,74
2016,Kamohelo Mokotjo,72,49,71,74,66,72,74
2017,Duirval Hélton Diniz Cabral,54,47,55,49,74,74,74
2018,Johannes Hopf,75,71,67,77,45,75,74
2019,Bryan Dabo,78,71,72,74,74,79,74
2020,André Renato Soares Martins,79,63,73,80,53,50,74
2021,Nikos Karelis,73,76,64,72,32,69,74
2022,Vukašin Jovanović,59,46,59,63,74,74,74
2023,Alejandro Bergantiños García,51,46,64,62,72,76,74
2024,David Juncà Reñé,81,45,63,68,70,78,74
2025,Rémy Riou,74,71,79,75,57,72,74
2026,Lasse Sobiech,51,51,47,41,75,74,74
2027,Miguel Ángel Guerrero Martín,70,73,61,68,36,68,74
2028,Jaroslav Drobný,73,77,45,74,36,76,74
2029,Afriyie Acquah,79,63,68,75,72,80,74
2030,Richarlison de Andrade,82,70,61,77,25,74,74
2031,Sven van Beek,69,34,51,48,75,72,74
2032,Guillermo Maripán,54,33,48,46,73,78,74
2033,Diego Braghieri,66,49,47,55,73,75,74
2034,Besart Berisha,74,69,58,72,26,82,74
2035,Angelo Esmael da Costa Júnior,75,72,64,75,39,75,74
2036,Mathieu Dossevi,80,67,71,77,36,58,74
2037,Leonardo B. Lohner Maia,72,76,62,72,35,72,74
2038,Sidney Sam,73,74,70,78,33,58,74
2039,Michael Gregoritsch,68,76,71,72,40,69,74
2040,Victorino M. Acerval,71,72,73,76,42,75,74
2041,Radosav Petrović,48,62,65,61,72,81,74
2042,Adrian Corveto,68,76,74,73,18,77,74
2043,Rodrigo Éder Serpa Conceição,75,72,65,67,73,70,74
2044,Adam Clayton,68,63,72,70,68,72,74
2045,Omar Ibrahim Othman,72,29,46,48,73,80,74
2046,Marvelous Nakamba,72,50,59,67,72,82,74
2047,Emiliano Velázquez,55,47,49,57,75,72,74
2048,Jaime Romero Gómez,82,66,69,79,36,64,74
2049,Abdul Majeed Waris,92,72,65,76,38,74,74
2050,Marco Russ,31,47,53,42,76,69,74
2051,Clément Grenier,52,71,78,76,56,65,74
2052,Márcio Gonzaga de Azevedo,81,65,68,73,71,79,74
2053,Jason Denayer,75,42,57,64,74,73,74
2054,Fernando Navarro Corbacho,58,50,66,66,78,73,74
2055,Pascoal Simão Muscato Vieira,59,68,68,70,72,76,74
2056,Ricardo Laborde,84,71,66,77,26,66,74
2057,Yevhen Seleznyov,59,75,60,64,36,79,74
2058,Ádám Nagy,75,54,77,78,68,62,74
2059,Joel Ward,65,54,65,65,76,75,74
2060,Jonathan Schunke,33,29,51,43,75,77,74
2061,Andrey Sinitsyn,73,73,71,74,41,74,74
2062,Ashley Barnes,67,73,63,73,42,81,74
2063,Abdoulaye Ba,54,38,46,42,76,74,74
2064,Nicklas Bendtner,68,72,68,69,35,75,74
2065,Jordan Adéoti,56,44,63,54,73,79,74
2066,Saúl Berjón Pérez,78,74,73,74,34,68,74
2067,Samuel Armenteros,67,72,62,75,34,68,74
2068,Joe Neiroga,83,57,65,75,71,68,74
2069,Claudio Beauvue,70,72,68,73,44,58,74
2070,Daniel João Santos Candeias,85,68,69,76,43,69,74
2071,Yasin Öztekin,79,70,69,77,39,63,74
2072,Alexander Scholz,62,51,59,63,72,78,74
2073,Danilo Barbosa da Silva,68,64,70,73,74,73,74
2074,Emre Akbaba,75,72,74,73,46,65,74
2075,Jesús Molina,69,58,65,67,73,81,74
2076,Patrick Roberts,79,66,69,81,23,41,74
2077,Maxime Lopez,71,60,72,76,51,56,74
2078,Adam Maher,72,69,75,76,52,54,74
2079,Darwin Machís,89,71,64,81,31,65,74
2080,Marc-Oliver Kempf,67,38,56,59,73,74,74
2081,Milton Casco,84,62,65,72,70,76,74
2082,Caio Bruno Milaçar Kenedy,67,68,69,76,37,49,74
2083,Víctor Álvarez Delgado,76,49,72,74,68,72,74
2084,Babacar Sarr,67,51,56,62,70,88,74
2085,Goran Pandev,59,73,71,80,38,59,74
2086,Joaquín Correa,75,70,73,76,33,61,74
2087,Luigi Sepe,73,75,61,79,47,71,74
2088,Motaz Hawsawi,65,37,40,53,74,77,74
2089,Ben Watson,50,68,76,71,68,70,74
2090,Juan Carlos Pérez López,77,63,69,75,67,69,74
2091,João Miguel Coimbra Aurélio,68,64,74,74,72,76,74
2092,Salman Al Faraj,68,68,75,74,70,68,74
2093,Guido Carrillo,63,75,53,70,35,77,74
2094,Ayoze Pérez Gutiérrez,75,72,62,80,25,64,74
2095,Cristian Rodrigo Nevorrete,73,46,67,73,75,68,74
2096,Corentin Jean,88,74,67,76,27,51,74
2097,Jiří Pavlenka,73,72,67,77,31,74,74
2098,Valon Berisha,80,69,69,75,48,77,74
2099,Gian Marco Ferrari,50,19,37,42,76,76,74
2100,Gustav Svensson,53,45,62,64,70,81,74
2101,Gerso Fernandes,93,67,63,78,36,50,74
2102,Rubén Peña Jiménez,86,71,65,76,57,64,74
2103,Néstor Araujo,69,41,52,56,74,77,74
2104,Enaldo Diogo Barbosa Prazeres,72,49,68,64,74,70,74
2105,Serkan Kırıntılı,73,72,68,74,49,73,74
2106,Enzo Crivelli,61,71,62,67,32,81,74
2107,Franko Andrijašević,70,75,69,69,53,74,74
2108,José María Basanta,62,49,54,55,74,71,74
2109,Diego Farías da Silva,88,67,67,80,23,46,74
2110,Domenico Maietta,40,18,41,49,77,70,74
2111,Alberto Lora Ramos,80,59,64,69,68,73,74
2112,Rômulo Souza Orestes Caldeira,75,65,73,76,69,70,74
2113,Lewis Baker,68,78,76,73,52,70,74
2114,Andy Najar,81,66,70,78,69,69,74
2115,Clinton Njie,93,71,66,75,31,66,74
2116,Tanguy Ndombele,74,61,72,73,70,73,74
2117,Anaitz Arbilla Zabala,67,55,68,67,75,79,74
2118,Tolga Ciğerci,65,63,71,70,71,78,74
2119,Guillermo Celis,69,48,60,69,73,80,74
2120,Nico Elvedi,70,33,60,67,75,75,74
2121,Olcay Şahan,76,71,71,75,57,68,74
2122,Pierre-Michel Lasogga,48,80,44,62,35,80,74
2123,Matt Besler,74,42,63,64,73,75,74
2124,Frederik Rønnow,74,71,66,76,46,72,74
2125,Marcelo Augusto Ferreira Teixeira,76,49,60,73,72,65,74
2126,Diego Falcinelli,73,73,52,70,20,67,74
2127,Maximiliano López,43,74,62,70,24,68,74
2128,André Geraldes de Barros,78,41,65,66,73,73,74
2129,Ilya Maksimov,57,69,69,74,53,66,74
2130,Claudemir Domingues de Souza,62,65,73,69,65,76,74
2131,Benoît Poulain,34,26,58,46,75,75,74
2132,Luís Rafael Soares Alves,77,61,71,74,70,67,74
2133,Raúl Fdez-Cavada Mateos,75,76,60,73,42,75,74
2134,Louis Schaub,77,66,68,80,37,66,74
2135,Peter Crouch,33,75,68,66,32,69,74
2136,Víctor David Díaz Miguel,70,56,66,66,70,78,74
2137,Jailson Michel Caeiro Meireles,74,53,63,73,72,66,74
2138,Giovanni Daralla,56,46,59,50,74,75,74
2139,Taras Mykhalyk,60,47,64,58,72,76,74
2140,Nicolás Vikonis,72,76,68,74,41,72,74
2141,Francisco José Olivas Alba,40,52,53,56,75,84,74
2142,Maxim Kanunnikov,85,70,64,74,42,76,74
2143,Aleksandar Prijović,73,71,54,69,37,77,74
2144,Luciano Abecasis,85,41,68,73,68,67,74
2145,Matheus Fellipe Costa Pereira,81,73,67,79,34,60,74
2146,Felix Wiedwald,77,66,67,80,40,69,74
2147,Facundo Pereyra,79,71,70,76,32,56,74
2148,Kel Bruno Pereira Negrão,54,45,66,59,74,74,74
2149,Ludovic Butelle,77,73,65,74,36,73,74
2150,Rémi Walter,68,59,74,74,68,69,74
2151,Erick Evaldes,68,54,58,63,73,74,74
2152,Hugo Goiteira Regalo,43,48,55,50,74,80,74
2153,Serge Gakpé,89,71,66,77,28,60,74
2154,Matías Laba,73,58,66,69,71,73,74
2155,Fábio Kel Melo Feijó,51,73,75,74,30,52,74
2156,Damián Suárez,81,66,66,66,69,78,74
2157,Robin Quaison,78,64,71,76,55,70,74
2158,Ricardo Centurión,87,64,67,81,41,59,74
2159,Tobias Sippel,75,69,79,77,46,68,74
2160,Chul Hong,91,47,69,70,67,75,74
2161,Benik Afobe,80,73,60,71,26,72,74
2162,José Emerson Mirazar Coelho,74,63,75,75,34,61,74
2163,Gabriel Peñalba,46,68,72,72,68,80,74
2164,Marco Rojas,90,69,68,81,21,42,74
2165,Diego Mariño Villar,75,71,69,77,48,72,74
2166,Carles Planas Antolínez,75,38,63,68,71,70,74
2167,Jin Su Kim,77,30,66,70,71,68,74
2168,Gamadiel Contreso,54,47,55,49,74,74,74
2169,Kaíqundo Calado Dimas,56,47,57,53,75,74,74
2170,Matt Hedges,58,28,51,52,72,82,74
2171,Ahmet Çalık,68,40,54,60,74,76,74
2172,Joe Ledley,58,65,72,65,70,77,74
2173,Miguel Ángel Herrero Javaloyas,62,66,76,74,49,60,74
2174,Sylvester Igboun,92,70,61,75,33,80,74
2175,Eren Albayrak,82,67,75,75,67,65,74
2176,Charlie Adam,43,75,79,67,58,72,74
2177,Narciso Barresta,75,62,75,76,52,57,74
2178,Antonio Latorre Grueso,80,53,68,70,70,62,74
2179,Hyun Jun Suk,64,74,58,72,34,79,74
2180,Tom Ince,79,69,68,77,26,53,74
2181,Víctor Rodríguez Romero,77,71,71,77,45,61,74
2182,David Rodríguez Sánchez,81,75,57,69,34,73,74
2183,Jirès Kembo-Ekoko,82,73,70,75,34,68,74
2184,Siniša Anđelković,66,40,45,51,74,72,74
2185,Aleksandar Katai,65,74,73,78,37,64,74
2186,Élton José Xavier Gomes,89,70,74,75,34,47,74
2187,Christian Clemens,81,69,72,73,41,67,74
2188,Saulo Decarli,68,33,51,55,74,72,74
2189,Alexey Miranchuk,73,67,71,74,30,64,74
2190,Martín Nervo,66,45,56,56,72,78,74
2191,Krzysztof Mączyński,66,53,74,74,69,67,74
2192,Damir Kreilach,59,71,70,71,66,82,74
2193,Abraham González Casanova,62,65,75,67,68,66,74
2194,Nelson Fuenzas,75,72,65,67,73,70,74
2195,Tunay Torun,78,68,73,76,25,60,74
2196,Jorge Marco de Oliveira Morais,79,55,67,74,70,64,74
2197,Urby Emanuelson,81,65,73,79,69,65,74
2198,Diego Vera,65,73,65,72,28,73,74
2199,Benjamin Nivet,52,74,76,72,55,60,74
2200,Lionel Carole,83,40,65,73,71,77,74
2201,Fahad Al Muwallad,93,72,63,74,36,68,74
2202,Daniel Congré,57,30,62,66,74,76,74
2203,Michael Rensing,76,74,67,77,41,70,74
2204,Renato João Saleiro Santos,78,68,67,76,30,60,74
2205,Àngel Rangel Zaragoza,50,59,71,72,79,72,74
2206,Paolo Retomal,59,68,68,70,72,76,74
2207,Marlon Lourival Nideiro Cintra,79,63,71,77,31,45,74
2208,Brecht Dejaegere,77,62,69,79,66,77,74
2209,Jacson João Zonta Filho,76,61,72,74,30,62,74
2210,Joel Robles Blázquez,78,69,75,77,51,72,74
2211,Jaïro Riedewald,74,51,66,70,73,71,74
2212,Zhi Zheng,63,64,72,72,72,70,74
2213,Edwin Cardona,61,76,75,74,40,75,74
2214,Juan Martínez,77,72,67,79,37,61,74
2215,Leonardo Miguel Garcia Caldeira,72,72,73,75,29,66,74
2216,Trent Sainsbury,74,49,67,61,75,71,74
2217,Nico Schulz,87,50,67,74,69,71,74
2218,Alvin Severino Sousa Diniz,69,69,72,73,35,70,74
2219,David Neres Campos,83,69,65,82,34,60,74
2220,James McClean,77,67,69,76,58,75,74
2221,Filip Đuričić,76,65,71,78,35,59,74
2222,Edgar Barreto,68,65,73,70,70,71,74
2223,Firmin Ndombe Mubele,81,74,53,74,23,68,74
2224,Mimoun Mahi,80,77,64,78,37,65,74
2225,Viktor Kovalenko,77,72,72,73,60,70,74
2226,Jozo Šimunović,68,27,48,61,73,78,74
2227,Vito Mannone,74,72,71,75,60,71,74
2228,Delvin N'Dinga,68,53,66,63,71,78,74
2229,Alex Meret,76,70,65,77,45,74,74
2230,César Montes,67,38,58,58,74,76,74
2231,Miroslav Radović,62,66,70,76,42,71,74
2232,Diego Valdés,80,68,72,74,52,70,74
2233,José Cuadrado,74,71,67,76,46,72,74
2234,Fabiano Ribeiro de Freitas,76,70,73,74,43,74,74
2235,Ike Opara,84,38,52,56,71,83,74
2236,Claudiano G. Sobrino Guevara,73,57,74,72,70,75,74
2237,Hélton Luiz Celanova Vieira,55,76,60,66,22,73,74
2238,Boukary Dramé,80,56,63,72,72,73,74
2239,Raúl García Carnero,74,62,71,67,71,75,74
2240,Luca Caldirola,64,41,64,63,74,73,74
2241,Mark Milligan,67,59,68,64,73,80,74
2242,Duje Čop,59,77,65,70,33,67,74
2243,Omar Gonzalez,63,36,50,43,74,83,74
2244,Eric Bicfalvi,63,75,69,72,55,75,74
2245,Erick Ronaldo Gameira Carvalho,83,72,58,74,33,59,74
2246,Mevlüt Erdinç,72,72,69,71,42,75,74
2247,Nosakhare Igiebor,75,68,67,76,67,77,74
2248,Pol Mikel Lirola Kosok,82,45,68,73,71,70,74
2249,Wayne Hennessey,73,75,80,71,41,76,74
2250,Ellyes Skhiri,67,64,70,71,73,71,74
2251,Bruno Alexandre Vieira Almeida,74,68,74,77,56,63,74
2252,Alexander Büttner,76,66,73,74,70,75,74
2253,Niklas Hult,84,59,71,72,68,66,74
2254,Rúben Miguel Nunes Vezo,64,49,59,54,75,72,74
2255,Andrés Pérez,50,64,67,63,72,74,74
2256,Matheus Jadson Vidigal Morais,79,76,57,63,22,69,74
2257,Josip Drmić,77,75,66,73,37,71,74
2258,Allan McGregor,75,71,69,77,38,73,74
2259,Rúben Tiago Rodrigues Ribeiro,71,68,72,78,48,64,74
2260,Gabriele Angella,42,42,51,49,75,72,74
2261,Alyaksandr Martynovich,73,50,57,54,77,73,74
2262,Ilja Nestorovski,72,73,49,71,32,72,74
2263,Cristiano da Silva,90,73,68,73,38,78,74
2264,Luca Zuffi,66,70,82,73,69,70,74
2265,Emilio Alex Piodão Esser,74,64,69,70,70,78,74
2266,Sebastian Larsson,56,74,77,72,62,72,74
2267,José Luis Palomino,49,32,59,62,76,75,74
2268,Scott Carson,74,70,76,71,47,75,74
2269,Gabriel Torje,82,70,67,79,37,57,74
2270,Shane Duffy,51,42,51,46,72,79,74
2271,Sergio Postigo Redondo,63,45,45,53,74,77,74
2272,Eduardo Peñarendi,51,73,75,74,30,52,74
2273,Edvaldo Flávio Rebelo de Freit,74,56,71,71,71,73,74
2274,Anders Christiansen,74,63,72,72,65,75,74
2275,Gōtoku Sakai,75,47,69,72,71,69,74
2276,Romain Brégerie,60,36,54,49,72,79,74
2277,Vasco Herculano Cunha Fernandes,66,40,59,64,74,80,74
2278,Diogo José Figueiras,83,56,68,76,70,68,74
2279,David Accam,94,69,65,74,44,62,74
2280,Anwar El Ghazi,79,75,67,75,29,70,74
2281,Enrique Triverio,72,74,52,71,31,70,74
2282,Brian Rasaldo,74,63,75,75,34,61,74
2283,Mikel Villanueva,44,39,52,44,74,78,74
2284,Cengiz Ünder,81,71,68,76,32,54,74
2285,Thiago Henrique Mendes Ribeiro,81,68,70,75,71,68,74
2286,Pablo Barrientos,63,67,77,77,34,58,74
2287,Filipe Augusto Carvalho Souza,68,61,72,75,64,71,74
2288,Pierrick Capelle,74,71,73,76,66,66,74
2289,Hugo Rodallega,75,72,68,75,39,71,74
2290,Alexandru Epureanu,53,53,53,55,76,75,74
2291,Milton Caraglio,57,74,61,69,27,76,74
2292,Brice Dja Djédjé,78,59,69,73,71,75,74
2293,Paulo Henrique Soares dos Santos,73,67,71,75,25,43,74
2294,Maurício de Carvalho António,65,30,49,49,74,74,74
2295,Craig Gordon,72,71,72,76,35,70,74
2296,Alberto Costa,63,69,75,73,68,64,74
2297,Nélson Miguel Castro Oliveira,71,75,63,71,39,74,74
2298,Thomas Monconduit,69,54,70,70,70,76,74
2299,Javier Eraso Goñi,64,70,71,68,58,75,74
2300,Moussa Konaté,90,69,54,73,23,64,74
2301,Wilmar Barrios,63,38,62,62,74,78,74
2302,Jeferson Fernandes Macedo,75,70,69,76,26,66,74
2303,Andrea Costa,68,37,49,61,76,72,74
2304,Nicola Rigoni,61,55,71,71,66,75,74
2305,Vladimir Gabulov,71,73,76,72,56,77,74
2306,İrfan Can Kahveci,78,68,73,78,45,64,74
2307,Sebastião Erick Couteira Baía,79,62,72,73,44,51,74
2308,Miguel Jesus Rosa,66,73,75,75,41,66,74
2309,Walace Souza Silva,68,67,65,68,73,73,74
2310,Raúl Albentosa Redal,35,47,52,41,74,82,74
2311,Manuel Locatelli,66,63,73,74,69,69,74
2312,Viktor Vasin,67,41,58,45,75,76,74
2313,Chinedu Obasi,70,73,67,77,40,68,74
2314,Diego Percidino,79,63,71,77,31,45,74
2315,Cesar Despredal,76,61,72,74,30,62,74
2316,Kauã Ricardo Abranches Simões,85,64,67,74,57,61,74
2317,Zoltán Gera,49,73,77,76,61,66,74
2318,José Manuel Rodríguez Benito,69,54,56,57,74,75,74
2319,Casimir Ninga,88,75,61,72,27,78,74
2320,Ramadan Sobhi,75,62,71,77,43,65,74
2321,Thievy Bifouma,93,72,54,76,27,70,74
2322,Adam Masina,78,38,66,67,71,78,74
2323,Daniel Schwaab,69,39,64,63,75,69,74
2324,Vincent Bessat,73,63,74,75,64,67,74
2325,Matthias Ostrzolek,75,46,64,72,72,70,74
2326,Abraham Naranjeda,72,72,73,75,29,66,74
2327,Nicolás Júlio Formido Paiva,71,65,75,74,39,67,74
